trial_type,vertex,chromo,spatial_act
Stim C3,144,HbO,5.320942771329172e-21
Stim C3,144,HbR,-2.1283771085316688e-21
Stim C3,145,HbO,5.426100743833107e-13
Stim C3,145,HbR,-2.1704402975332433e-13
Stim C3,146,HbO,2.709234768115004e-13
Stim C3,146,HbR,-1.0836939072460016e-13
Stim C3,147,HbO,1.4120273193430092e-13
Stim C3,147,HbR,-5.6481092773720356e-14
Stim C3,148,HbO,5.595046038652925e-13
Stim C3,148,HbR,-2.2380184154611703e-13
Stim C3,149,HbO,6.119274350100016e-13
Stim C3,149,HbR,-2.4477097400400066e-13
Stim C3,150,HbO,1.0586032892874741e-12
Stim C3,150,HbR,-4.234413157149897e-13
Stim C3,151,HbO,1.0312859713850406e-12
Stim C3,151,HbR,-4.1251438855401635e-13
Stim C3,152,HbO,4.5237337080800624e-15
Stim C3,152,HbR,-1.8094934832320246e-15
Stim C3,153,HbO,1.4334023280447857e-12
Stim C3,153,HbR,-5.733609312179143e-13
Stim C3,154,HbO,2.8037648921428333e-15
Stim C3,154,HbR,-1.1215059568571333e-15
Stim C3,155,HbO,2.5229321111583874e-12
Stim C3,155,HbR,-1.009172844463355e-12
Stim C3,156,HbO,2.0199937509938422e-13
Stim C3,156,HbR,-8.079975003975368e-14
Stim C3,157,HbO,2.2019697102892548e-12
Stim C3,157,HbR,-8.807878841157019e-13
Stim C3,158,HbO,1.4670206954607016e-17
Stim C3,158,HbR,-5.8680827818428064e-18
Stim C3,159,HbO,3.634833236177354e-13
Stim C3,159,HbR,-1.4539332944709412e-13
Stim C3,160,HbO,3.350677821361933e-14
Stim C3,160,HbR,-1.3402711285447731e-14
Stim C3,161,HbO,8.015473623941532e-15
Stim C3,161,HbR,-3.206189449576613e-15
Stim C3,162,HbO,9.047116836943455e-19
Stim C3,162,HbR,-3.6188467347773827e-19
Stim C3,163,HbO,1.3055171146271936e-20
Stim C3,163,HbR,-5.222068458508775e-21
Stim C3,164,HbO,1.2166547548422125e-15
Stim C3,164,HbR,-4.86661901936885e-16
Stim C3,165,HbO,4.282016697465295e-20
Stim C3,165,HbR,-1.712806678986118e-20
Stim C3,166,HbO,3.863235891767731e-23
Stim C3,166,HbR,-1.5452943567070922e-23
Stim C3,167,HbO,4.4916201020565946e-23
Stim C3,167,HbR,-1.796648040822638e-23
Stim C3,168,HbO,6.741194809487971e-23
Stim C3,168,HbR,-2.696477923795188e-23
Stim C3,169,HbO,2.8597276070214656e-22
Stim C3,169,HbR,-1.1438910428085862e-22
Stim C3,170,HbO,1.1070370132147448e-22
Stim C3,170,HbR,-4.428148052858981e-23
Stim C3,171,HbO,7.119699888233642e-13
Stim C3,171,HbR,-2.8478799552934577e-13
Stim C3,172,HbO,2.371109401277346e-13
Stim C3,172,HbR,-9.484437605109386e-14
Stim C3,173,HbO,7.303821826711609e-13
Stim C3,173,HbR,-2.9215287306846437e-13
Stim C3,174,HbO,6.756904232952848e-13
Stim C3,174,HbR,-2.70276169318114e-13
Stim C3,175,HbO,1.2701941412388267e-12
Stim C3,175,HbR,-5.080776564955307e-13
Stim C3,176,HbO,1.9080399374151986e-12
Stim C3,176,HbR,-7.632159749660794e-13
Stim C3,177,HbO,4.057000742969006e-15
Stim C3,177,HbR,-1.6228002971876026e-15
Stim C3,178,HbO,2.171087769785128e-15
Stim C3,178,HbR,-8.684351079140513e-16
Stim C3,179,HbO,3.560598028919346e-15
Stim C3,179,HbR,-1.4242392115677382e-15
Stim C3,180,HbO,1.8863910739538613e-15
Stim C3,180,HbR,-7.545564295815446e-16
Stim C3,181,HbO,5.829507685898064e-13
Stim C3,181,HbR,-2.3318030743592254e-13
Stim C3,182,HbO,1.0601737768118705e-15
Stim C3,182,HbR,-4.2406951072474815e-16
Stim C3,183,HbO,6.728875220158898e-17
Stim C3,183,HbR,-2.6915500880635595e-17
Stim C3,184,HbO,1.4686662304232825e-17
